0:2:1.13,-78.9375,10.01562,-215.7031
0:2:1.27,-27.125,-25.79688,5.28125
0:2:1.40,85.64063,-30.28125,237.3906
0:2:1.54,57.5,-30.9375,211.2969
0:2:1.67,139.0156,23.375,213.7031
0:2:1.80,38.35938,-39.48438,-43.96875
0:2:1.94,-5.984375,7.9375,-76.46875
0:2:2.7,-81.54688,-3.390625,-268.2031
0:2:2.21,-15.25,6.859375,-175.75
0:2:2.34,8.25,16.10938,47.48437
0:2:2.48,58.28125,-25.0,261.0156
0:2:2.62,53.23438,-0.75,197.875
0:2:2.75,40.10938,-15.40625,139.625
0:2:2.88,-3.203125,-56.04688,-63.96875
0:2:3.2,-90.25001,-12.23438,-193.6562
0:2:3.15,-117.9375,2.59375,-235.3906
0:2:3.34,-13.5,30.8125,-51.21875
0:2:3.48,19.03125,-43.40625,183.3281
0:2:3.62,120.8906,-23.625,179.9219
0:2:3.75,96.34376,2.609375,184.875
0:2:3.89,35.03125,-13.29687,-24.5
0:2:4.3,-109.3281,22.65625,-135.7344
0:2:4.16,-72.96875,2.484375,-255.4844
0:2:4.31,-42.73438,9.171875,-134.7969
0:2:4.45,56.03125,27.98438,74.8125
0:2:4.59,2.0625,-37.01563,183.6563
0:2:4.74,47.89063,-36.5,199.7344
0:2:4.87,98.60938,8.03125,92.92188
0:2:5.2,-42.89063,3.75,-111.6094
0:2:5.15,-52.71875,-10.59375,-219.875
0:2:5.29,-82.65625,2.09375,-206.7188
0:2:5.43,4.953125,32.59375,-29.82813
0:2:5.61,4.0,-17.42188,212.9062
0:2:5.75,80.79688,2.3125,212.3906
0:2:5.89,56.71875,-4.28125,141.9844
0:2:6.3,13.03125,-15.48438,-105.9062
0:2:6.16,-99.32813,-42.64062,-165.3438
0:2:6.29,-85.26563,-9.421875,-254.5156
0:2:6.44,-17.34375,19.375,-93.8125
0:2:6.58,24.85938,-1.640625,118.0469
0:2:6.72,62.375,-3.375,198.6406
0:2:6.86,71.60938,-7.296875,189.5156
0:2:7.0,53.51563,-3.34375,84.875
0:2:7.13,-24.14063,15.54688,-138.6406
0:2:7.27,-87.95313,-25.09375,-205.25
0:2:7.42,-43.70313,12.67187,-182.5781
0:2:7.57,15.75,15.51563,35.32813
0:2:7.71,13.17188,-31.60938,180.75
0:2:7.90,31.07813,-23.25,197.2812
0:2:8.4,95.76563,4.234375,83.85938
0:2:8.17,-43.89062,-0.234375,-134.3281
0:2:8.31,-41.09375,-18.42188,-222.9375
0:2:8.46,-61.875,-16.71875,-157.8594
0:2:8.60,33.79688,28.25,28.625
0:2:8.74,12.92188,-25.28125,162.5937
0:2:8.89,55.09375,-17.0,171.7031
0:2:9.4,74.57813,0.5625,145.7656
0:2:9.17,30.92188,-9.9375,-67.03125
0:2:9.31,-38.96875,-2.640625,-176.1406
0:2:9.45,-64.04687,-16.76563,-225.625
0:2:9.62,-11.76563,15.53125,-38.40625
0:2:9.76,46.6875,-2.75,136.7031
0:2:9.91,60.5625,-5.953125,153.1875
0:2:10.5,27.5,-25.40625,170.7656
0:2:10.24,1.125,-8.0625,-67.39063
0:2:10.40,-60.17188,-19.35938,-176.4375
0:2:10.55,-53.34375,-7.203125,-173.5938
0:2:10.71,15.8125,11.26562,-11.92188
0:2:10.87,17.84375,-18.15625,154.9219
0:2:11.2,47.375,-17.375,145.5312
0:2:11.16,32.6875,-24.28125,128.7812
0:2:11.31,24.4375,-11.96875,-75.6875
0:2:11.47,-37.9375,-12.07813,-188.9062
0:2:11.62,-57.71875,-9.234375,-151.7188
0:2:11.78,13.98438,13.0,9.765625
0:2:11.94,41.4375,-8.015625,145.5
0:2:12.9,2.9375,-28.76563,151.9531
0:2:12.24,-11.64063,-21.625,106.5313
0:2:12.39,8.703125,10.10938,-92.01563
0:2:12.55,-45.26563,2.109375,-195.9687
0:2:12.75,-37.1875,-0.046875,-103.5
0:2:12.92,59.75,1.890625,127.4531
0:2:13.8,75.65625,1.296875,157.7031
0:2:13.22,39.70313,-8.96875,173.3437
0:2:13.38,43.6875,7.984375,-7.28125
0:2:13.53,-48.96875,0.0,-149.4844
0:2:13.69,-65.6875,11.92188,-208.0625
0:2:13.86,-12.32813,20.6875,-66.90625
0:2:14.2,22.28125,-26.54688,139.3906
0:2:14.17,42.54688,-28.71875,154.3437
0:2:14.33,39.53125,-36.39063,143.9531
0:2:14.50,-0.953125,-7.015625,-56.09375
0:2:14.65,-56.0625,-1.875,-184.8125
0:2:14.81,-44.67187,10.26563,-176.4219
0:2:14.98,6.71875,1.640625,23.4375
0:2:15.14,20.96875,-26.0,151.3125
0:2:15.35,30.70313,-26.59375,175.0937
0:2:15.51,95.35937,25.78125,35.64063
0:2:15.68,-36.25,20.21875,-175.7344
0:2:15.84,-58.21875,-4.5625,-212.6719
0:2:16.0,-13.10938,10.07813,-52.4375
0:2:16.20,31.92188,-16.60938,168.8437
0:2:16.34,37.39063,-19.29688,170.5625
0:2:16.49,39.39063,-40.59375,158.1094
0:2:16.63,-10.375,-10.375,-99.26562
0:2:16.78,-37.14062,21.70313,-200.5
0:2:16.92,-47.48437,15.32813,-215.4687
0:2:17.6,-8.765625,22.39063,-54.65625
0:2:17.21,8.0,-45.26563,140.9375
0:2:17.35,71.5,-21.98437,169.375
0:2:17.49,48.15625,-32.53125,176.6406
0:2:17.63,72.53125,12.84375,19.29688
0:2:17.82,-72.34375,6.671875,-169.8906
0:2:17.96,-43.46875,21.51562,-235.3906
0:2:18.11,-6.9375,12.53125,-58.20313
0:2:18.26,44.28125,-9.515625,154.7344
0:2:18.40,31.0625,-29.20313,162.3437
0:2:18.54,19.4375,-48.25,174.7813
0:2:18.68,43.89062,1.390625,0.078125
0:2:18.82,-26.73438,34.42188,-157.5781
0:2:18.97,-50.78125,18.32813,-235.2187
0:2:19.12,-24.9375,17.57813,-95.04687
0:2:19.27,25.28125,-9.78125,115.5312
0:2:19.41,59.375,-9.34375,164.6719
0:2:19.56,8.125,-37.42188,175.9687
0:2:19.70,41.1875,0.5,51.51563
0:2:19.85,-12.51562,32.29687,-133.5781
0:2:19.99,-56.95313,0.28125,-222.0625
0:2:20.19,-31.78125,14.89063,-73.71875
0:2:20.33,13.20313,-17.0,116.625
0:2:20.48,23.48438,-44.5625,142.9531
0:2:20.62,42.70313,-31.53125,147.4062
0:2:20.77,41.75,-11.70313,62.75
0:2:20.92,-21.57813,36.89063,-135.4062
0:2:21.7,-43.35938,24.40625,-184.4531
0:2:21.21,-18.54688,23.65625,-122.3281
0:2:21.36,11.90625,-2.15625,69.82812
0:2:21.51,23.29688,-33.78125,155.0
0:2:21.66,-21.4375,-63.0625,146.5312
0:2:21.81,79.28125,8.84375,86.46875
0:2:21.96,-35.89062,18.1875,-126.875
0:2:22.11,-59.375,-3.296875,-183.9531
0:2:22.25,-27.04688,26.6875,-148.6562
0:2:22.40,49.17188,36.53125,24.875
0:2:22.59,43.0,-25.5,203.375
0:2:22.74,38.375,-21.3125,166.0156
0:2:22.89,63.89062,6.46875,32.78125
0:2:23.4,-37.71875,13.84375,-157.5156
0:2:23.19,-67.5,-0.484375,-200.7344
0:2:23.34,-40.375,12.10938,-124.1719
0:2:23.48,15.78125,8.546875,71.78125
0:2:23.64,11.67188,-51.375,172.0625
0:2:23.79,7.53125,-49.75,141.625
0:2:23.93,114.5625,16.26563,92.01563
0:2:24.9,-66.96875,24.875,-146.7656
0:2:24.24,-58.65625,10.65625,-196.6875
0:2:24.39,-41.04688,19.89063,-127.1094
