0:0:0,x,y,z
0:1:58.78,1496.88,-423.44,1425.0
0:1:59.0,590.62,973.44,-4056.25
0:1:59.21,-10539.06,-9287.5,-16387.5
0:1:59.43,-1331.25,-510.94,2025.0
0:1:59.65,7021.88,11306.25,16387.5
0:1:59.88,-1610.94,-5707.81,2034.38
0:2:0.10,5096.88,13304.69,-10984.38
0:2:0.31,-16803.12,-19854.69,-10900.0
0:2:0.52,-457.81,1464.06,6471.879
0:2:0.73,6675.0,7425.0,15295.31
0:2:1.0,2629.69,2668.75,-3621.88
0:2:1.19,3831.25,11196.88,-10879.69
0:2:1.41,-11046.88,-11528.12,-8770.309
0:2:1.62,1882.81,2023.44,8306.251
0:2:1.83,5525.0,6985.94,14229.69
0:2:2.4,376.56,737.5,-321.88
0:2:2.24,1825.0,3357.81,-6939.06
0:2:2.45,-13360.94,-15615.62,-8807.81
0:2:2.66,1317.19,2071.88,-1239.06
0:2:2.88,3314.06,4626.56,17656.25
0:2:3.9,835.94,-279.69,121.88
0:2:3.29,951.56,-428.12,-3606.25
0:2:3.51,-7303.12,-8956.25,-15051.56
0:2:3.72,-1353.12,721.88,112.5
0:2:3.94,5217.19,9787.5,13010.94
0:2:4.15,3084.38,3128.12,-2059.38
0:2:4.42,1735.94,4940.62,-9970.309
0:2:4.64,-8320.31,-9120.31,-6143.75
0:2:4.85,2539.06,3625.0,3804.69
0:2:5.6,6384.38,10115.62,15139.06
0:2:5.26,1231.25,1270.31,-385.94
0:2:5.48,3128.12,6135.94,-7556.25
0:2:5.70,-10673.44,-14360.94,-10412.5
0:2:5.92,1184.38,2942.19,5721.879
0:2:6.18,6676.56,6159.379,13853.12
0:2:6.37,817.19,-2621.88,-2676.56
0:2:6.57,-651.56,2114.06,-8870.31
0:2:6.77,-8132.811,-7773.44,-7948.44
0:2:6.96,1228.12,5248.44,-2514.06
0:2:7.16,5609.38,6850.0,15390.62
0:2:7.37,1179.69,1976.56,1064.06
0:2:7.58,-3142.19,-8935.941,6.25
