0:0:0.42,-136.475,-15.0,-970.0,135.94,879.69,-446.88
0:0:0.73,654.541,496.0,-1200.0,3271.88,6371.88,4129.69
0:0:0.84,240.234,-66.0,-1010.0,1864.06,-12885.94,-5534.379
0:0:2.65,-371.582,195.0,-800.0,301.56,9657.809,-1232.81
0:0:3.62,523.682,1344.0,-252.0,-2404.69,6601.56,8567.191
0:0:4.10,373.291,1536.0,164.0,137.5,8200.0,-15579.69
0:0:4.59,841.797,1019.0,-52.0,-6.25,-28873.44,-4468.75
0:0:4.89,695.801,916.0,185.0,1078.12,-4004.69,3293.75
0:0:5.8,369.141,1516.0,156.0,-4487.5,-5490.62,-6281.25
0:0:5.19,116.211,1008.0,-111.0,-1245.31,9359.38,3468.75
0:0:5.62,523.926,1258.0,-203.0,743.75,6696.88,-1290.62
0:0:5.73,396.973,774.0,-82.0,-2575.0,28.12,1171.88
0:0:6.21,339.844,763.0,-14.0,265.62,-3726.56,-1935.94
0:0:6.71,473.145,249.0,-195.0,1390.62,7590.62,-3059.38
0:0:6.81,871.0939,1165.0,106.0,4429.69,-6231.25,-3125.0
0:0:6.92,281.25,1187.0,16.0,-1257.81,11832.81,2301.56
0:0:7.39,803.955,1934.0,-130.0,-9501.559,-3764.06,-1042.19
0:0:7.70,581.787,708.0,110.0,3760.94,6362.5,-1376.56
0:0:7.90,366.211,653.0,130.0,-2626.56,-8007.811,2153.12
0:0:8.1,162.354,1352.0,-94.00001,2453.12,3435.94,-906.25
0:0:8.10,342.285,454.0,-271.0,753.12,-4995.31,2153.12
0:0:8.31,259.766,2335.0,-52.0,-9071.879,-15317.19,-1943.75
0:0:8.51,502.197,805.0,-239.0,-1423.44,13521.88,2451.56
0:0:8.71,627.197,1261.0,211.0,7026.56,-9845.309,-1632.81
0:0:8.82,66.162,1541.0,317.0,-2326.56,3596.88,-1579.69
0:0:8.93,875.244,463.0,-344.0,1582.81,-5796.88,4414.06
0:0:9.41,412.598,213.0,-410.0,5562.5,-15432.81,-2801.56
0:0:9.61,807.617,1085.0,-230.0,5868.75,3382.81,-2489.06
0:0:9.72,678.467,1131.0,5.0,-4107.81,-6548.44,3065.62
0:0:10.22,426.758,858.0,-384.0,-9579.691,5631.25,-5325.0
0:0:10.76,192.139,1321.0,85.0,2278.12,346.88,-7101.56
0:0:11.8,1601.074,698.0,22.0,-2203.12,-4703.12,10760.94
0:0:11.61,227.539,423.0,-1149.0,679.69,6043.75,-2100.0
0:0:12.5,145.752,-56.0,-1266.0,-1012.5,6840.62,1837.5
0:0:12.79,572.998,-397.0,-130.0,7742.19,-1906.25,-5807.81
0:0:13.20,-1302.734,105.0,-517.0,-8159.38,3471.88,23981.25
0:0:14.16,46.875,188.0,-635.0,-1573.44,-973.44,-3815.62
0:0:14.81,256.592,623.0,-198.0,11984.38,36215.62,14606.25
0:0:15.33,334.228,502.0,-184.0,6754.69,14318.75,-5798.44
0:0:15.45,381.348,2291.0,90.0,2064.06,1867.19,-8296.88
0:0:16.51,808.5939,-809.0,-937.0,4367.19,14314.06,-7101.56
0:0:17.88,988.77,-86.0,-378.0,2887.5,-12026.56,6185.94
0:0:17.99,-26.123,-322.0,-237.0,-1607.81,19545.31,-6915.62
0:0:18.43,49.805,-306.0,-592.0,2573.44,-1064.06,4848.44
0:0:18.65,161.133,-913.9999,-955.9999,1800.0,-3687.5,-2090.62
0:0:19.18,11.23,-600.0,-701.0,404.69,-2971.88,2714.06
