0:0:0.38,-9865.62,-1489.06,2067.19
0:0:1.27,7143.75,-856.25,-1900.0
0:0:1.43,-14596.88,-23556.25,-2976.56
0:0:1.58,16718.75,23079.69,10884.38
0:0:1.73,2606.25,7929.69,-11534.38
0:0:1.88,-5717.19,-9184.38,2550.0
0:0:2.3,-22170.31,-20917.19,-10632.81
0:0:2.18,3579.69,12262.5,14092.19
0:0:3.94,11271.88,6681.25,19735.94
0:0:4.37,-6181.25,8617.19,-26204.69
0:0:4.82,6110.94,7064.06,27682.81
0:0:5.27,-820.31,5593.75,-18689.06
0:0:5.72,15971.88,12975.0,15248.44
0:0:6.30,-10018.75,-1428.12,-4431.25
0:0:6.90,-3987.5,-1920.31,10995.31
0:0:7.52,656.25,-923.44,-9225.0
0:0:8.12,-11500.0,-6414.06,4148.44
0:0:8.27,-2026.56,15935.94,-7326.56
0:0:8.57,7918.75,-18746.88,10100.0
0:0:8.86,-403.12,9300.0,-11875.0
0:0:9.74,10289.06,11403.12,7953.12
0:0:10.20,-462.5,10596.88,-34382.81
0:0:10.82,26470.31,-775.0,18746.88
0:0:11.77,29364.06,8415.62,17292.19
0:0:12.39,5870.31,2671.88,-29210.94
0:0:12.86,26289.06,15465.62,19067.19
0:0:13.48,-13889.06,-1432.81,-27492.19
0:0:13.96,21017.19,10401.56,22442.19
0:0:14.43,-11570.31,1853.12,-20390.62
0:0:15.53,-16126.56,-6339.06,-19000.0
0:0:16.0,14890.62,5532.81,19126.56
0:0:16.46,-9042.191,187.5,-16829.69
0:0:16.94,10634.38,5793.75,18610.94
0:0:17.56,-10370.31,617.19,-24557.81
0:0:18.4,15100.0,6998.44,20087.5
0:0:18.50,823.44,5567.19,-19701.56
0:0:18.98,10018.75,6482.81,17806.25
0:0:19.61,-11100.0,-675.0,-20509.38
0:0:20.9,10390.62,3392.19,17589.06
0:0:20.55,5484.38,8181.251,-13867.19
0:0:21.17,9526.56,-215.62,12689.06
0:0:21.64,-1673.44,4753.12,-17476.56
0:0:22.12,8750.0,1390.62,11654.69
0:0:22.75,-14640.62,-3625.0,-16034.38
0:0:23.22,12265.62,-1023.44,9931.251
0:0:23.84,10278.12,16142.19,-7742.19
0:0:24.31,-11321.88,-20648.44,18001.56
0:0:24.63,17081.25,23164.06,-27670.31
0:0:25.10,560.94,5935.94,7681.25
0:0:25.73,5582.81,15120.31,-6001.56
0:0:26.5,6987.5,-226.56,18095.31
0:0:26.20,1856.25,7373.44,-14051.56
0:0:26.68,22504.69,11507.81,10564.06
0:0:26.84,-7228.12,-15395.31,-19506.25
0:0:29.1,-6245.31,5279.69,-3342.19
0:0:29.48,-2384.38,4117.19,4871.88
0:0:29.95,6654.69,-4137.5,-2840.62
0:0:30.27,-4970.31,4128.12,6657.81
0:0:31.21,4773.44,285.94,-18146.88
0:0:31.69,-6448.44,-20620.31,19571.88
0:0:32.0,-6851.56,10493.75,-10123.44
0:0:32.46,7110.94,2767.19,29557.81
0:0:32.94,-12514.06,-1503.12,-25603.12
0:0:33.57,7748.44,14167.19,18960.94
0:0:33.73,-2651.56,-1829.69,-1340.62
0:0:33.90,-6454.69,-8984.38,1410.94
0:0:34.36,-7779.69,1253.12,11445.31
0:0:36.39,22079.69,8268.75,24654.69
0:0:36.86,-13218.75,-2468.75,-25373.44
0:0:37.95,-17153.12,1804.69,-24187.5
0:0:38.43,14178.12,4151.56,22756.25
0:0:38.90,3539.06,7473.44,-22307.81
0:0:39.99,-6010.94,617.19,-16956.25
0:0:40.47,12554.69,5648.44,16134.38
0:0:41.9,-13959.38,-1782.81,-15887.5
0:0:41.56,10937.5,3914.06,16789.06
0:0:42.65,8745.31,-582.81,17717.19
0:0:43.12,-9865.62,-2515.62,-18893.75
0:0:43.60,15879.69,8990.62,14904.69
0:0:44.22,-10134.38,-4487.5,-15245.31
0:0:44.70,18671.88,9568.75,16453.12
0:0:45.31,-19920.31,-4970.31,-17820.31
